,name,lat,lon,id,operator,public_transport,railway,source,alt_name,network,station,subway,wheelchair,wikidata,wikipedia,addr:city,addr:housenumber,addr:street,light_rail,train,addr:country,addr:province,phone,website,railway:ref,addr:postcode,iata,internet_access,internet_access:fee,name:en,ref:amtrak,ref:via_rail,network:wikidata,name:es,name:fr,short_name,start_date,network:en,network:fr,operator:short,operator:wikidata,toilets:wheelchair,note,name:ko,elevator,platforms,defibrillator:location,check_date:wheelchair,air_conditioning,level,construction,opening_date
113,Île-des-Soeurs,45.47033,-73.5388789,7350710750,,station,station,,,REM,light_rail,,yes,Q30668383,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Montmorency,45.5583531,-73.7215179,7757580977,Société de transport de Montréal,station,station,,,,subway,yes,limited,Q1352971,en:Montmorency station (Montreal Metro),,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,
115,Hays,45.3740801,-73.5659975,7757580978,,station,station,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Barrington,45.3736546,-73.5627097,7757580979,,station,station,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Cartier,45.56023,-73.6817986,7758614182,Société de transport de Montréal,station,station,,Métro Cartier,,subway,yes,yes,Q1045964,en:Cartier station (Montreal Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Du Quartier,45.4466843,-73.4333205,7762106852,,station,station,,,REM,light_rail,,yes,Q30668380,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Brossard,45.4380559,-73.4306231,7762106853,,station,station,,,REM,light_rail,,,Q30668377,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Panama,45.4649672,-73.4703585,7762106854,,station,station,,,REM,light_rail,,,Q30668381,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,McGill,45.5025449,-73.5723103,7966937790,,station,station,,,REM,light_rail,yes,,,,,,,yes,,,,,,,,,,,,,,Q19582331,,,,,,,,,,,,,,,,,,yes,2025
122,Gare Centrale,45.4999265,-73.5666874,8205968569,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,Estación Central,,,,,,,,,,,,,,,yes,,,
123,Montpellier,45.5248032,-73.6722229,8220190012,,station,station,,,REM,light_rail,yes,,,,,,,yes,,,,,,,,,,,,,,Q19582331,,,,,,,,,,,,,,,,,,yes,2025
124,Du Ruisseau,45.5289485,-73.6901904,8223036864,Caisse de dépôt et placement du Québec,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,yes,,,,,,,,,2023,,,,,,,,,,,,,,,
125,Bois-Franc,45.5220141,-73.7125326,8661983919,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,
126,Pierrefonds-Roxboro,45.5097734,-73.81191,8661983920,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,
127,Île-Bigras,45.5197901,-73.8527206,8661983921,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,
128,Sainte-Dorothée,45.5234599,-73.8624724,8661983922,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,
129,Grand-Moulin,45.5372464,-73.8879074,8661983923,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,
130,Deux-Montagnes,45.5456833,-73.9124135,8661983924,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,
131,Sunnybrooke,45.5038395,-73.7857006,8665496409,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,
132,Baie-d'Urfé,45.4198747,-73.9156092,8713507680,EXO,station,station,,,EXO,,,,Q3095491,fr:Gare Baie-d'Urfé,Baie-D'Urfé,101,Rue Morgan,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Beaurepaire,45.4274086,-73.8870697,8714747627,Réseau de transport métropolitain,station,station,,,exo,,,,Q3095492,fr:Gare Beaurepaire,Beaconsfield,520,Avenue Elm,,yes,,,,,,H9W 6E4,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Rosemère,45.6345663,-73.7959015,9969720772,exo,station,station,,,exo,,,,Q3095536,fr:Gare Rosemère,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Sainte-Rose,45.625284,-73.7644249,10268818189,Exo,station,station,,,exo,,,yes,Q3095557,fr:Gare Sainte-Rose,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Édouard-Montpetit,45.5103737,-73.6120612,11956377680,,station,station,,,REM,light_rail,yes,,,,,,,yes,,,,,,CANR,,,,,,,,Q19582331,,,,,,,,,,,,,,,,,,,
