,name,lat,lon,id,operator,public_transport,railway,source,alt_name,network,station,subway,wheelchair,wikidata,wikipedia,addr:city,addr:housenumber,addr:street,light_rail,train,addr:country,addr:province,phone,website,railway:ref,addr:postcode,iata,internet_access,internet_access:fee,name:en,ref:amtrak,ref:via_rail,network:wikidata,name:es,name:fr,short_name,start_date,network:en,network:fr,operator:short,operator:wikidata,toilets:wheelchair,note,name:ko,elevator,platforms,defibrillator:location,check_date:wheelchair,air_conditioning,level,construction,opening_date
25,Montréal-Ouest,45.4536012,-73.6418794,6309253862,Exo,station,station,,,exo,,,,Q3095527,fr:Gare Montréal-Ouest,,,,,yes,,,,,,,,,,Montreal West,,,,,Montréal-Ouest,,,,,,,,,,,,,,,,,
26,Vendôme,45.4735495,-73.6034976,6311378470,Exo,station,station,,,exo,,,,Q3095564,fr:Gare Vendôme,,,,,yes,,,,,,,,,,,,,Q392496,,,,,,,,,,,,,,,,,,,
27,Candiac,45.3606104,-73.5148067,6311678259,Exo,station,station,,,exo,,,,Q3095499,fr:Gare Candiac,Candiac,201,Rue de la Sorbonne,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Delson,45.3668087,-73.5408168,6311699204,Exo,station,station,,,exo,,,,Q3095508,fr:Gare Delson,Delson,1,Chemin de la Gare,,yes,,Québec,,,,J5B 2A2,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Saint-Constant,45.3738557,-73.5699762,6311705900,Exo,station,station,,,exo,,,,Q3095542,fr:Gare Saint-Constant,Saint-Constant,122 A,Rue Saint-Pierre,,yes,,Québec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sainte-Catherine,45.3820379,-73.6000359,6311729538,Exo,station,station,,,exo,,,,Q3095555,fr:Gare Sainte-Catherine,Sainte-Catherine,333,Rue Sainte-Catherine,,yes,,Québec,,,,J5A 1V7,,,,,,,,,,,,,,,,,,,,,,,,,,
31,LaSalle,45.4257049,-73.6567922,6313009353,Exo,station,station,,,exo,,,,Q2381571,fr:Gare LaSalle,Montréal,9,Avenue Highlands,,yes,,QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Du Canal,45.4376261,-73.6559462,6313026085,Exo,station,station,,,exo,,,,Q19582008,fr:Gare Du Canal,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sainte-Anne-de-Bellevue,45.4077564,-73.9508005,6318314098,Exo,station,station,,,exo,,,,Q3095553,fr:Gare Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,105,Boulevard des Anciens-Combattants,,yes,,Québec,,,,H9X,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Beaconsfield,45.4348034,-73.8481314,6320575044,Exo,station,station,,,exo,,,,Q3095490,fr:Gare Beaconsfield,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Cedar Park,45.4424015,-73.8199137,6320579836,Exo,station,station,,,Exo,,,,Q3095501,fr:Gare Cedar Park,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Pointe-Claire,45.4473646,-73.8030381,6327375543,Exo,station,station,,,exo,,,,Q961134,fr:Gare Pointe-Claire,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Valois,45.4497165,-73.7910242,6327395265,Exo,station,station,,,Exo,,,,Q3095562,fr:Gare Valois,Pointe-Claire,114,Avenue Donegani,,yes,,Québec,,,,H9R 2V4,,no,no,,,,,,,,,,,,,,,,,,,,,,,
38,Pine Beach,45.4496012,-73.7641579,6327405188,Exo,station,station,,,exo,,,,Q3095531,fr:Gare Pine Beach,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Dorval,45.4491959,-73.7435177,6327480700,Exo,station,station,,,exo,,,,Q587075,fr:Gare Dorval (exo),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Lachine,45.4486681,-73.7111856,6327540983,Exo,station,station,,,exo,,,,Q3095519,fr:Gare Lachine,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Dorval,45.4489349,-73.7414204,6332915202,VIA Rail Canada,station,station,,,VIA Rail,,,,Q737327,fr:Gare de Dorval (Via Rail),,,,,yes,,,,,DORV,,XAX,,,,,,,,,,,,,,,,,,,,,,,,,
42,Longueuil–Université-de-Sherbrooke,45.5249263,-73.5219251,6600830243,Société de transport de Montréal,station,station,,Longueuil,,subway,yes,no,Q1869604,en:Longueuil station,Longueuil,100,Place Charles-Le Moyne,,yes,,QC,,,,J4K 2T4,,,,,,,,,,Longueuil-UdeS,,,,,,,,,,,,,,,,
43,Côte-des-Neiges,45.4966507,-73.623489,6600830244,Société de transport de Montréal,station,station,,,,subway,yes,,Q1150926,en:Côte-des-Neiges station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Berri-UQAM,45.5151125,-73.5610756,6600856333,Société de transport de Montréal,station,station,,,,subway,yes,limited,Q827090,en:Berri-UQAM station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Jean-Drapeau,45.5124469,-73.5331259,6600874117,Société de transport de Montréal,station,station,,Île-Sainte-Hélène,STM,subway,yes,yes,Q1675164,en:Jean-Drapeau station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Villa-Maria,45.4797551,-73.6197555,6607411941,Société de transport de Montréal,station,station,,,,subway,yes,,Q1480912,en:Villa-Maria station,,,,,,,,,,,,,,,,,,,,,,1981-09-07,,,,,,,,,,,,,,,
47,Snowdon,45.4856705,-73.6283531,6607411942,Société de transport de Montréal,station,station,,,,subway,yes,,Q179391,en:Snowdon station,Montréal,,Chemin Queen Mary,,,CA,QC,,,,,,,,,,,,,,,1981-09-07,,,,,,,,,,,,,,,
48,Viau,45.5611109,-73.5473091,6615202527,Société de transport de Montréal,station,station,,,,subway,yes,yes,Q1892890,en:Viau station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Monk,45.4510439,-73.5932019,6615202528,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1550415,en:Monk station,Montréal,6678,Rue Allard,,yes,,QC,,,,H4E 2L6,,,,,,,,,,,,,,,,,,,,,,,,,,
50,De l'Église,45.4627596,-73.5670231,6615202529,Société de transport de Montréal,station,station,,,,subway,yes,,Q1180127,en:De L'Église station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Charlevoix,45.4782496,-73.5693705,6615202530,Société de transport de Montréal,station,station,,,,subway,yes,,Q1066736,en:Charlevoix station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Préfontaine,45.5417253,-73.5542369,6615202531,Société de transport de Montréal,station,station,,,,subway,yes,yes,Q1827087,en:Préfontaine station,,3100,Rue Hochelaga,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,McGill,45.5041095,-73.5715471,6831524451,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1285503,en:McGill station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Cadillac,45.5768358,-73.5466995,7041520765,Société de transport de Montréal,station,station,,,,subway,yes,no,Q743385,en:Cadillac station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Honoré-Beaugrand,45.596414,-73.5354362,7041520766,Société de transport de Montréal,station,station,,,,subway,yes,,Q1627267,en:Honoré-Beaugrand station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Saint-Michel,45.5597489,-73.5999622,7052471485,Société de transport de Montréal,station,station,,,,subway,yes,,Q176603,en:Saint-Michel station (Montreal Metro),Montréal,,Boulevard Saint-Michel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,D’Iberville,45.5525993,-73.6026995,7052471486,Société de transport de Montréal,station,station,,,,subway,yes,,Q1272978,en:D'Iberville station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Fabre,45.5467522,-73.6078016,7052471487,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1390685,en:Fabre station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Jean-Talon,45.5391835,-73.6134236,7052471488,Société de transport de Montréal,station,station,,,,subway,yes,yes,Q1386163,en:Jean-Talon station (Montreal Metro),,,,,,,,,,,,,,,,,,,,,,1966-10-14,,,,,,,,,,,,,,,
60,De Castelnau,45.5352621,-73.6201056,7052471489,Société de transport de Montréal,station,station,,,,subway,yes,no,Q971995,en:De Castelnau station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Parc,45.530416,-73.6245212,7052471490,Société de transport de Montréal,station,station,,,,subway,yes,,Q3095529,en:Parc station (Montreal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Acadie,45.523225,-73.6237511,7052471491,Société de transport de Montréal,station,station,,,Métro,subway,yes,,Q337414,en:Acadie station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Édouard-Montpetit,45.5101323,-73.6125273,7052471492,Société de transport de Montréal,station,station,,,Métro de Montréal,subway,yes,yes,Q273870,en:Édouard-Montpetit station,,,,,,,,,,,,,,,,,,Q392377,,,,,Montreal Metro,Métro de Montréal,STM,Q1817151,,,,,,,,,,,
64,Université-de-Montréal,45.503439,-73.617581,7052471493,Société de transport de Montréal,station,station,,,,subway,yes,,Q256462,en:Université-de-Montréal station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Côte-Vertu,45.5142942,-73.6832845,7052605729,Société de transport de Montréal,station,station,,,,subway,yes,yes,Q543270,en:Côte-Vertu station,Montréal,1515,Boulevard de la Côte-Vertu,,,,QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Du Collège,45.5084616,-73.6728291,7052605730,Société de transport de Montréal,station,station,,,,subway,yes,limited,Q1262350,en:Du Collège station,,,,,yes,,,,,,,,,,,,,,,,,1984-01-09,,,,,,,,,,,,,,,
